测量里程,中线北坐标X,中线东坐标Y,中线高程H
805505,3790286.532,482011.2282,40.8809
805506,3790285.542,482011.087,40.8781
805507,3790284.552,482010.9456,40.8751
805508,3790283.562,482010.8033,40.8719
805509,3790282.573,482010.6609,40.8691
805510,3790281.583,482010.5191,40.8665
805511,3790280.593,482010.3776,40.8639
805512,3790279.603,482010.2358,40.8613
805513,3790278.613,482010.0941,40.859
805514,3790277.623,482009.9517,40.8568
805515,3790276.633,482009.8097,40.855
805515.1054,3790276.529,482009.7947,40.8547
805516,3790275.643,482009.668,40.8516
805517,3790274.654,482009.5262,40.8484
805518,3790273.664,482009.3845,40.8455
805519,3790272.674,482009.2426,40.8433
805520,3790271.684,482009.1006,40.8411
805521,3790270.694,482008.9581,40.839
805522,3790269.704,482008.8156,40.8365
805523,3790268.715,482008.6733,40.8335
805524,3790267.725,482008.5312,40.8309
805525,3790266.735,482008.3892,40.8283
805526,3790265.745,482008.2471,40.8264
805527,3790264.755,482008.1051,40.8238
805528,3790263.765,482007.963,40.8209
805529,3790262.775,482007.8208,40.8184
805530,3790261.786,482007.6787,40.816
805531,3790260.796,482007.5367,40.8137
805532,3790259.806,482007.3948,40.8107
805533,3790258.816,482007.2524,40.8076
805534,3790257.826,482007.11,40.8045
805535,3790256.836,482006.9681,40.8014
805536,3790255.846,482006.8259,40.7983
805537,3790254.857,482006.6837,40.7953
805538,3790253.867,482006.5416,40.7922
805539,3790252.877,482006.3997,40.7892
805540,3790251.887,482006.2576,40.7863
805541,3790250.897,482006.1155,40.7838
805542,3790249.907,482005.9735,40.7811
805543,3790248.917,482005.8314,40.7783
805544,3790247.928,482005.6894,40.7755
805545,3790246.938,482005.5473,40.7728
805546,3790245.948,482005.4052,40.77
805547,3790244.958,482005.2629,40.7672
805548,3790243.968,482005.1203,40.7645
805549,3790242.978,482004.9777,40.7617
805550,3790241.989,482004.8362,40.7592
805551,3790240.999,482004.6954,40.7568
805552,3790240.008,482004.5546,40.7549
805553,3790239.019,482004.4133,40.7531
805554,3790238.029,482004.2702,40.7501
805555,3790237.039,482004.1272,40.7475
805556,3790236.049,482003.9847,40.745
805557,3790235.059,482003.8422,40.7424
805558,3790234.07,482003.6997,40.7403
805559,3790233.08,482003.5574,40.7382
805560,3790232.09,482003.4155,40.7341
805561,3790231.1,482003.2737,40.7319
805562,3790230.11,482003.1316,40.7296
805563,3790229.12,482002.989,40.7274
805564,3790228.131,482002.8466,40.7252
805565,3790227.141,482002.7043,40.7229
805566,3790226.151,482002.5619,40.7206
805567,3790225.161,482002.4192,40.718
805568,3790224.171,482002.2765,40.7151
805569,3790223.182,482002.135,40.7122
805570,3790222.192,482001.9934,40.7093
805571,3790221.202,482001.851,40.7064
805572,3790220.212,482001.7086,40.7036
805573,3790219.222,482001.5661,40.7007
805574,3790218.232,482001.4237,40.6978
805574.77,3790217.47,482001.3141,40.6958
805575,3790217.243,482001.2814,40.6952
805576,3790216.253,482001.1393,40.693
805577,3790215.263,482000.9972,40.691
805578,3790214.273,482000.8552,40.689
805579,3790213.283,482000.7131,40.687
805580,3790212.293,482000.571,40.685
805581,3790211.303,482000.429,40.683
